title,author,genre,link1,link2,link3,createdAt,updatedAt
Just Mercy,Bryan Stevenson,Biography & Autobiography,https://www.esowonbookstore.com/book/9780593133934,https://amzn.to/2UoCwrr,https://m.media-amazon.com/images/I/81qCXjW1H+L._AC_UY218_.jpg,2020-06-18,2020-06-18
The Fire This Time,Jesmyn Ward,Essays,https://www.esowonbookstore.com/book/9781501126352,https://amzn.to/2UtuygQ,https://m.media-amazon.com/images/I/61AmhRwJQZL._AC_UY218_.jpg,2020-06-18,2020-06-18
Such a Fun Age,Kiley Reid,Fiction,https://rep.club/collections/books/products/such-a-fun-age-by-kiley-reid,https://amzn.to/2ALzBm2,https://m.media-amazon.com/images/I/91TwkWWSsiL._AC_UY218_.jpg,2020-06-18,2020-06-18
Are Prisons Obsolete?,Angela Y. Davis,Non-fiction,https://www.feministes-radicales.org/wp-content/uploads/2010/11/Angela-Davis-Are_Prisons_Obsolete.pdf,https://www.amazon.com/gp/search/ref=as_li_qf_sp_sr_tl?ie=UTF8&tag=allyapp-20&keywords=Are Prisons Obsolete&index=aps&camp=1789&creative=9325&linkCode=ur2&linkId=22bd7f5068b8fc1d8ece21fd881aac5c,https://m.media-amazon.com/images/I/51uBKspTRVL._AC_UY218_.jpg,2020-06-18,2020-06-18
How to be an Antiracist,Ibram X. Kendi,Non-fiction,https://bookshop.org/books/how-to-be-an-antiracist/9780525509288,https://amzn.to/2XIR2Mx,https://m.media-amazon.com/images/I/81Y7-j9JffL._AC_UY218_.jpg,2020-06-18,2020-06-18
Biased,Dr. Jennifer Eberhardt,Non-fiction,https://www.esowonbookstore.com/book/9780735224957,https://amzn.to/30oya7l,https://m.media-amazon.com/images/I/71QZANem-hL._AC_UY218_.jpg,2020-06-18,2020-06-18
Citizen: An American Lyric,Claudine Rankin,Poetry,https://www.esowonbookstore.com/book/9781555976903,https://amzn.to/2XRTVuJ,https://m.media-amazon.com/images/I/31gKVQbujtL._AC_UY218_.jpg,2020-06-18,2020-06-18
I Know Why the Caged Bird Sings,Maya Angelou,Biography & Autobiography,https://www.esowonbookstore.com/book/9780345514400,https://www.amazon.com/gp/search/ref=as_li_qf_sp_sr_tl?ie=UTF8&tag=allyapp-20&keywords=i know why the caged bird sings&index=aps&camp=1789&creative=9325&linkCode=ur2&linkId=f96a387019bea1b04b2bcfcc1508d2ad,https://m.media-amazon.com/images/I/51nT4B3me2L._AC_UY218_.jpg,2020-06-18,2020-06-18
Sister Outsider,Audre Lorde,Essays,https://www.esowonbookstore.com/book/9781580911863,https://amzn.to/2AUbC3K,https://m.media-amazon.com/images/I/51CwKI3qiML._AC_UY218_.jpg,2020-06-18,2020-06-18
Their Eyes Were Watching God,Zora Neale Hurston,Fiction,https://www.esowonbookstore.com/book/9780061120060,https://amzn.to/3dQoPcl,https://m.media-amazon.com/images/I/51B22z+84KL._AC_UY218_.jpg,2020-06-18,2020-06-18
Love & Rage: The Path of Liberation through Anger,Lama Rod Owens,Non-fiction,https://rep.club/collections/books/products/love-rage-lama-rod-owens,https://amzn.to/3hE4ERh,https://m.media-amazon.com/images/I/819vG9mmFxL._AC_UY218_.jpg,2020-06-18,2020-06-18
The Warmth of Other Suns: The Epic Story of America's Great Migration,Isabel Wilkerson,Non-fiction,https://www.esowonbookstore.com/book/9780679763888,https://amzn.to/2YlouYW,https://m.media-amazon.com/images/I/91havnhkmcL._AC_UY218_.jpg,2020-06-18,2020-06-18
Raising White Kids: Bringing Up Children In A Racially Unjust America,Jennifer Harvey,Non-fiction,https://www.esowonbookstore.com/book/9781501878077,https://amzn.to/3cO2lY4,https://m.media-amazon.com/images/I/51Sm2KAjFyL._AC_UY218_.jpg,2020-06-18,2020-06-18
Don't Call Us Dead,Danez Smith,Poetry,https://rep.club/collections/books/products/dont-call-us-dead-poems-by-danez-smith,https://amzn.to/37F494Q,https://m.media-amazon.com/images/I/91NZIoSNjsL._AC_UY218_.jpg,2020-06-18,2020-06-18
Good Talk: A Memoir in Conversations,Mira Jacob,Biography & Autobiography,https://bookshop.org/books/good-talk-a-memoir-in-conversations/9780399589041?aid=2644,https://amzn.to/30SHZLe,https://m.media-amazon.com/images/I/818tKsU9XjL._AC_UY218_.jpg,2020-06-18,2020-06-18
The Fire Next Time,James Baldwin,Essays,https://rep.club/products/the-fire-next-time_pos=1&_sid=8003a0b35&_ss=r,https://amzn.to/2Uoltpz,https://m.media-amazon.com/images/I/81xj3Wri0XL._AC_UY218_.jpg,2020-06-18,2020-06-18
The Bluest Eye,Toni Morrison,Fiction,https://www.esowonbookstore.com/book/9780307278449,https://amzn.to/2XOk3Xi,https://m.media-amazon.com/images/I/71d4pBGSlcL._AC_UY218_.jpg,2020-06-18,2020-06-18
Hood Feminism,Mikki Kendall,Non-fiction,https://rep.club/collections/books/products/hood-feminism,https://amzn.to/2BexuqK,https://m.media-amazon.com/images/I/81OGGVSOMNL._AC_UY218_.jpg,2020-06-18,2020-06-18
"Me and White Supremacy: Combat Racism, Change the World & Become a Good Ancestor",Layla F. Saad,Non-fiction,https://rep.club/collections/books/products/me-and-white-supremacy,https://amzn.to/3h9L9j9,https://m.media-amazon.com/images/I/516x+B07uFL._AC_UY218_.jpg,2020-06-18,2020-06-18
White Tears/Brown Scars: How White Feminism Betrays Women of Color,Ruby Hamad,Non-fiction,https://bookshop.org/books/white-tears-brown-scars-how-white-feminism-betrays-women-of-color/9781948226745?aid=2644,https://amzn.to/2CaTCCK,https://m.media-amazon.com/images/I/61+svxZcZkL._AC_UY218_.jpg,2020-06-18,2020-06-18
All Boys Aren't Blue,George M. Johnson,Poetry,https://rep.club/collections/books/products/all-boys-arent-blue,https://amzn.to/2UVD747,https://m.media-amazon.com/images/I/91euaQ+hL-L._AC_UY218_.jpg,2020-06-18,2020-06-18
"Redefining Realness: My Path to Womanhood, Identity, Love & So Much More",Janet Mock,Biography & Autobiography,https://www.esowonbookstore.com/book/9781476709130,https://amzn.to/2MOwI6d,https://m.media-amazon.com/images/I/61-796ui4LL._AC_UY218_.jpg,2020-06-18,2020-06-18
"
Why I'm No Longer Talking to White People about Race",Reni Eddo-Lodge,Essays,https://bookshop.org/books/why-i-m-no-longer-talking-to-white-people-about-race/9781635572957?aid=2644,https://amzn.to/3hCR4gV,https://m.media-amazon.com/images/I/71UdmVd7GNL._AC_UY218_.jpg,2020-06-18,2020-06-18
Algorithms of Oppression: How Search Engines Reinforce Racism,Safiya Umoja Noble,Non-fiction,https://rep.club/collections/books/products/algorithms-of-oppression,https://amzn.to/3fADrND,https://m.media-amazon.com/images/I/81Jde0M-d2L._AC_UY218_.jpg,2020-06-18,2020-06-18
So You Want to Talk About Race,Ijeoma Oluo,Non-fiction,https://www.hachettebookgroup.com/titles/ijeoma-oluo/so-you-want-to-talk-about-race/9781580056779/,https://amzn.to/2XIBeJI,https://m.media-amazon.com/images/I/61ezaAgMnyL._AC_UY218_.jpg,2020-06-18,2020-06-18
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Michelle Alexander,Non-fiction,https://rep.club/products/the-new-jim-crow?_pos=1&_sid=2c2a97c4d&_ss=r,https://amzn.to/2Uoltpz,https://m.media-amazon.com/images/I/81bIwaEZR3L._AC_UY218_.jpg,2020-06-18,2020-06-18
Homie,Danez Smith,Poetry,https://rep.club/collections/books/products/homie-danez-smith,https://amzn.to/2UUk1Lw,https://m.media-amazon.com/images/I/71sq8liFUdL._AC_UY218_.jpg,2020-06-18,2020-06-18
I'm Still Here: Black Dignity In a World Made for Whiteness,Austin Channing Brown,Biography & Autobiography,https://www.esowonbookstore.com/book/9781524760854,https://amzn.to/2XMA1Bh,https://m.media-amazon.com/images/I/81uhccWsGOL._AC_UY218_.jpg,2020-06-18,2020-06-18
Minor Feelings: An Asian American Reckoning,Cathy Park Hong,Essays,https://bookshop.org/books/minor-feelings-an-asian-american-reckoning/9781984820365?aid=2644,https://amzn.to/30PfSwp,https://m.media-amazon.com/images/I/817Nl9YSqZL._AC_UY218_.jpg,2020-06-18,2020-06-18
When Affirmative Action Was White: An Untold History of Racial Inequality in Twentieth Century America,Ira Katznelson,Non-fiction,https://www.esowonbookstore.com/book/9780393328516,https://amzn.to/2XPa5EZ,https://m.media-amazon.com/images/I/81Gi56p9nEL._AC_UY218_.jpg,2020-06-18,2020-06-18
